apple,사과
영상,Frame 여러자
Frame,영상 속 이미지 한 장
RGB,일반 색상 순서
BGR,OpenCV 색상 순서
ROI,이미지 특정 영역(필요한 부분)
View,원본 공유 메모리
Copy,완전 복제
FFmpeg,영상/오디오 처리 엔진
Container,mp4같은 파일 껍데기
Codec,압축 방식
Encoding,압축 저장
Decoding,재생용 복원
H264,대표 영상 코덱
Bitrate,화질/용량 결정
Frame,영상 한 장 이미지
VideoCapture(),영상 열기/디코더 준비
Cap.read(),실제 디코팅 + frame 생성
inference,실제 예측(학습모델->실제 예측 수행)
tensor,딥러닝 배열
Preprocessing,입역 변환
Postprocessing,결과 후처리
Confidence,신뢰도
CUDA,NVIDIA GPU 연산
ONNX Runtime,추론 엔진
Provider,어떤 장치로 추론할지
Fallback,실패 시
MPS,Apple GPU 연산
CoreML,Apple 공식 머신러닝 프레임워크
Animagan.onnc,모델 파일
inferenceSession,모델 실행 준비
CoreMLExecitionProvider,Apple GPU 사용 시도
ONNX,딥러닝 모델을 여러 환경에서 실행 가능하게 만드는 공용 모델 포멧(
Latency,대기시간
글루코드,여러 시스템이나 모델을 연결하는 코드
GStreamer,"실시간 영상,음성 데이터를 low latency로 처리하기 위한 멀티미디러 파이프라인 프레임워크"
GIL,"Python에서 한번에 하나의 스레드만 파이썬 코드를 실행하게 하는 락구조(순수파이썬은 병렬화 의미없음,OpenCV는내부에서해제"
Pybind11,c++코드를 python에서 직접 호출할 수 있게 연결해주는 바인딩 라이브러리
모델호출오케스트레이션,"여러 ai 모델의 호출,순서,비동기처리,상태관리,에러복구를제어하느 흐름관리구조"
c++과 python선택,"디코딩,전처리,렌더링=c++ , 모델호출오케스트레이션,정책=python"
RAII패턴(C++),"객체 생성시 자원을 획득하고 객체 소멸시 자동해제, 메모리 누수와 자원 관리를 안전하게 처리"
스택 언와인딩,예외 발생시 호출 스택을 거슬러 올라가며 지역 객체의 소멸자 자동호출해 자원정리
unique_ptr,하나의 객체를 단독소유 복사 불가능 소멸시 메모리 자동해제
shared_ptr,여러객체참조 하나의 메모리 공동소유
weak_ptr,"shared_ptr가 관리하는 객체를 참조만 , 순환참조문제를 막기위해"
I/O-bound,"CPU연산보다 파일,네트워크,DB같은 입출력작업 대기시간이 성능 병목되는 작업 유형"
Python 멀티프로세싱과 멀티스레딩 차이,"멀티스레딩은 하나의 프로세스 안에서 여러작업-GIL영향받은, 멀티프로세싱은 프로세스 여러개 생성GIL해제CPU병렬처리 가능"
c++메모리누수 진단/방지,"스마트포인터와 RAII로 누수방지, Valgrind·AddressSanitizer 도구로 진단"
RSS메모리증가패턴,현재 프로세스가 실제 RAM에서 얼마나 메모리를 사용하는시 시간흐름관찰
Python 메모리사용량추적,"psutill로 RSS메모리증가패턴 확인후 메모리 할당위치추적->해결되지않는무한캐시,GC회수불가,Tensor분석"
Tensor,"수치데이터를 다차원 배열 형태로 표현(입력데이터,모델연산기본)"
NumPy배열이파이썬보다 빠른 이유,동일타입데이터 연속 메모리 저장하고 C기반 벡터화 연산으로 처리하며 객체박싱/언박싱과 포인터역참조 비용 제거
Ctypes,동적라이브러리를 직접호출하는저수준 빠를게 붙일때
Cython,"Python 문법을 기반으로 C코드로 변환,컴파일"
딥러닝 모델의 생애주기 단계,"7단계 데이터수집,라벨링->데이터검증->학습,실험->평가,검증->배포준비(변환,최적화)->배포->모니터링,재학습"
TensorRT,"NVIDIA GPU에서 딥러닝모델 속도최적화 위해 그래프최적화,정밀도변화,커널튜닝을 수행하는 고성능 추론 엔진"
학습된모델실서비스배포시,"결정성검증(동일입력동일출력),전후처리일치(색공간,정규화평균/표준편차),롤아웃안정성(핵심매트릭임계이상악화되면자동롤백)"
Model Quantization,"딥러닝 모델의 가중치와 활성값을 저정밀도로 변환해 메모리 사용량관 연산량을 줄임 , 정확도 손실 아니면 정확도 유지하면서 비용 높은걸로"
PyTorch(모델설계학습프레임워크),동적 그래프 기반 연구개발 유리
TensorFlow(모델설계학습프레임워크),정적그래프기반 최적화와 배포환경에 강점
"TensorRT,OpenVINO사용경함","ONNX모델을 각 하드웨어에 맞게 최적화해 추론 속도를 높이는 과정  핵심은 정밀도변환,커널최적화(GPU/CPU에 따라 결과 달라짐)"
모델 서비스 모니터링 축,"시스템지표(처리량,CPU/GPU/메모리 사용률),모델품질지표(출력통계,분포변화),비즈니스지표(응답완료율,실제서비스성과),신뢰성지표(에러율,타임아웃,재시도율)"
모델버전관리,"코드+데이터+모델가중치+설정 (모델이 어떤 데이터 코드 설정으로 만들어졌는가를 답,(정확도,정밀도,재현율등 기록))"
모델 가중치,신경망에서 입력을 출력으로 변환할때 각 연결의 중요도를 결정하는 학습된 수치 파라미터
추론시 배치 사이즈가 성능에 미치는 영향,사이즈가 커지면 GPU 병렬 효율이 올라 처리량은 증가하지만 메모리 사용량과 단일요청지연은 커질수있다.
추론서버,"다중프레임워크,동적배칭과동시인스턴스(GPU),모델앙상블,운영친화성"
동적배칭,짧은시간동안 들어오는 요청을 한 배치로 묶어 GPU에 한번에 처리
SLA,서비스 제공자가 보장해야 하는 성능 기준을 정의한 계약수준약속
트래픽이 일정하지 않을때(동적배칭),작은 배치를 여러 번 빠르게 처리하도록 선호해서 지연 시간을 안정적으로
앙상블,여러 모델(전처리-추론-후처리)을 하나의 그래프로 묶어 단일 요청으로 전체 결과 받는
BLS,스크립트로 비즈니스 로직을 직접 넣어 동적으로 추론 흐름 제어
SLI,"서비스 품질 측정을 위한 실제관측지표(latency,에러율,가용성)"
모델 핫리로드,"새버전추가시 폴링,api호출로 자동/수동 로드, 기존/신규버전을 두고 카나리 방식으로 SLI모니터링 ->이상시즉시이전버전돌림"
