자기소개 해주세요,"Java·Spring 기반으로 다양한 서비스 시스템을 개발·운영해온 개발자입니다. 금융 결제 시스템에서 카드사와 TCP/IP 직통신 연동과 Spring Batch 대용량 처리를 담당했고, 챗봇 프로젝트에서는 시나리오 기반 응답 시스템과 Redis 상태 관리를 구현했습니다. 개인적으로 OpenCV 기반 얼굴 인식 프로젝트를 진행하며 데이터 파이프라인 구조를 이해했고, 앞으로는 AI 모델과 서비스를 안정적으로 연결하는 Integration Engineer로 성장하고 싶습니다."
지원동기가 무엇인가요?,"디지털 휴먼 서비스는 LLM·TTS·비디오 생성 모델이 실시간으로 맞물리는 가장 고도화된 통합 영역입니다. 8개 카드사 직승인 체계를 구축하며 전문 통신과 예외 처리의 끝을 경험한 저에게, 멀티모달 AI 연동은 역량을 가장 가치 있게 증명할 수 있는 도전 과제입니다."
이직이 잦은 편인데 이유가 있나요?,"SI 특성상 프로젝트 단위 계약 구조였고, 다양한 도메인을 경험한 건 의도적이기도 했습니다. 이제는 한 서비스를 깊게 만들고 성장시키는 경험을 하고 싶어 방향을 전환하고 있습니다."
본인의 강점은 무엇인가요?,"새로운 도메인과 기술 스택에 빠르게 적응하는 것입니다. 금융 결제·공공·제조·AI 서비스까지 매번 새로운 환경에서 요건을 파악하고 구현해왔으며, 운영 중 발생하는 이슈를 로그 기반으로 원인 추적하고 대응하는 능력도 강점입니다."
본인의 약점은 무엇인가요?,"특정 기술 하나를 아주 깊게 파고드는 경험이 상대적으로 부족했습니다. AI 관련 기술 구조를 더 깊게 공부하기 위해 ONNX·TensorRT 등 AI 서빙 최적화 기술을 공부하고 있습니다."
가장 기억에 남는 프로젝트는?,"LG유플러스 카드 직승인 빌링 시스템입니다. VAN사 없이 8개 카드사와 직접 TCP/IP 소켓 통신으로 연동하는 구조를 처음부터 구축했고, Spring Batch로 100만 건 규모 배치 처리까지 담당했습니다. 카드사별 전문 포맷 차이를 하나씩 파악하며 데이터 흐름을 끝까지 추적하는 습관이 생겼습니다."
가장 어려웠던 기술적 문제는?,"LG유플러스 배치에서 카드사별 전문 포맷이 달라 데이터 매핑 오류가 발생했을 때입니다. 로그를 분석해 카드사별 응답 패턴을 파악하고 예외 케이스를 추가 핸들링해서 해결했습니다. 이후 운영 이슈 대응도 같은 방식으로 접근합니다."
다양한 파트와 협업 경험이 있으신가요?,"개발팀 내부뿐 아니라 기획·디자인·PM과 협업했습니다. LG유플러스 프로젝트에서는 8개 카드사 담당자와 직접 인터페이스 스펙을 협의하며 요건을 확정했고, 삼성전자 프로젝트에서는 Jira로 이슈를 관리했습니다."
C++·Python 경험이 없는데 괜찮겠어요?,"Python은 현재 OpenCV·ONNX 기반 미디어 처리와 모델 추론 흐름을 공부 중입니다. 새로운 기술 스택에 빠르게 적응해온 경험이 많아 충분히 따라갈 수 있다고 생각합니다."
AI 관련 실무 경험이 없는데 가능할까요?,"AI 모델 자체 개발 경험은 없지만, 운영형 챗봇 프로젝트에서 AI/NLP 엔진과 연동되는 구조를 경험했습니다. 서로 다른 시스템을 연결하고 안정적으로 운영하는 일은 6년간 해온 일입니다. AI 모델과 서비스를 연결하는 로직도 같은 맥락이라 생각합니다."
5년 후 목표는 무엇인가요?,"SI에서 다양한 도메인을 경험했다면, 앞으로는 한 서비스에서 기술적으로 깊어지고 싶습니다. Integration Engineer로서 AI 모델과 실제 서비스를 안정적으로 연결하고 운영하는 역량을 더 깊게 쌓고 싶습니다."
Integration Engineer에게 가장 중요한 역량은?,"예외 상황에 대한 방어적 설계입니다. 직승인 시스템에서 타임아웃 처리와 재연결 로직을 설계했던 것처럼, AI 서비스에서도 추론 지연 시의 Auto-Frame Drop이나 Smoothing 로직 같은 안정화 장치를 마련하는 것이 핵심입니다."
